,baseline__RLScore,baseline__RLScore,early__RLScore,early__RLScore,late__RLScore,late__RLScore,b2e__RLScore,b2e__RLScore,e2l__RLScore,e2l__RLScore
,p,pcor,p,pcor,p,pcor,p,pcor,p,pcor
17net,,,,,,,,,,
ContA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ContB,0.0,0.0,0.0,0.0,0.038,0.042470588235294114,0.0,0.0,0.008,0.010133333333333333
ContC,0.0,0.0,0.0,0.0,0.002,0.0034545454545454545,0.004,0.004470588235294118,0.0,0.0
DefaultA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DefaultB,0.002,0.0027142857142857147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DefaultC,0.166,0.166,0.028,0.03325,0.036,0.042470588235294114,0.0,0.0,0.0,0.0
DorsAttnA,0.0,0.0,0.0,0.0,0.024,0.03257142857142857,0.0,0.0,0.0,0.0
DorsAttnB,0.0,0.0,0.0,0.0,0.018,0.026307692307692306,0.004,0.004470588235294118,0.002,0.002923076923076923
LimbicA,0.026,0.030875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LimbicB,0.016,0.020266666666666665,0.018,0.024428571428571428,0.066,0.06966666666666667,0.004,0.004470588235294118,0.002,0.002923076923076923
SalVentAttnA,0.0,0.0,0.002,0.002923076923076923,0.0,0.0,0.0,0.0,0.006,0.008142857142857143
SalVentAttnB,0.0,0.0,0.032,0.03576470588235294,0.0,0.0,0.0,0.0,0.03,0.033529411764705884
SomMotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SomMotB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StriatumLeft,0.048,0.05066666666666667,0.034,0.035888888888888894,0.1,0.1,0.016,0.01688888888888889,0.708,0.708
StriatumRight,0.03,0.033529411764705884,0.316,0.316,0.008,0.012666666666666668,0.074,0.074,0.224,0.23644444444444446
TempPar,0.0,0.0,0.026,0.03293333333333333,0.032,0.04053333333333333,0.002,0.0027142857142857147,0.026,0.030875
VisCent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VisPeri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
