index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
1.0,7Networks_LH_Vis_1,-35.0,-36.0,-24.0,148.0,17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA,Vis,0,7Networks_LH_Vis_1
2.0,7Networks_LH_Vis_2,-34.0,-51.0,-19.0,5.0,17Networks_LH_VisCent_ExStr_1,VisCent,Vis,1,7Networks_LH_Vis_2
3.0,7Networks_LH_Vis_3,-25.0,-45.0,-14.0,151.0,17Networks_LH_DorsAttnA_TempOcc_4,DorsAttnA,Vis,2,7Networks_LH_Vis_3
4.0,7Networks_LH_Vis_4,-28.0,-63.0,-13.0,6.0,17Networks_LH_VisCent_ExStr_2,VisCent,Vis,3,7Networks_LH_Vis_4
5.0,7Networks_LH_Vis_5,-31.0,-43.0,-9.0,482.0,17Networks_LH_DefaultC_PHC_4,DefaultC,Vis,4,7Networks_LH_Vis_5
6.0,7Networks_LH_Vis_6,-34.0,-69.0,-16.0,7.0,17Networks_LH_VisCent_ExStr_3,VisCent,Vis,5,7Networks_LH_Vis_6
7.0,7Networks_LH_Vis_7,-45.0,-67.0,-18.0,152.0,17Networks_LH_DorsAttnA_TempOcc_5,DorsAttnA,Vis,6,7Networks_LH_Vis_7
8.0,7Networks_LH_Vis_8,-24.0,-58.0,-9.0,45.0,17Networks_LH_VisPeri_ExStrInf_1,VisPeri,Vis,7,7Networks_LH_Vis_8
9.0,7Networks_LH_Vis_9,-36.0,-80.0,-15.0,8.0,17Networks_LH_VisCent_ExStr_4,VisCent,Vis,8,7Networks_LH_Vis_9
10.0,7Networks_LH_Vis_10,-26.0,-80.0,-13.0,9.0,17Networks_LH_VisCent_ExStr_5,VisCent,Vis,9,7Networks_LH_Vis_10
11.0,7Networks_LH_Vis_11,-21.0,-74.0,-9.0,10.0,17Networks_LH_VisCent_ExStr_6,VisCent,Vis,10,7Networks_LH_Vis_11
12.0,7Networks_LH_Vis_12,-45.0,-72.0,-11.0,11.0,17Networks_LH_VisCent_ExStr_7,VisCent,Vis,11,7Networks_LH_Vis_12
13.0,7Networks_LH_Vis_13,-21.0,-49.0,-6.0,46.0,17Networks_LH_VisPeri_ExStrInf_2,VisPeri,Vis,12,7Networks_LH_Vis_13
14.0,7Networks_LH_Vis_14,-20.0,-88.0,-16.0,12.0,17Networks_LH_VisCent_ExStr_8,VisCent,Vis,13,7Networks_LH_Vis_14
15.0,7Networks_LH_Vis_15,-42.0,-84.0,-14.0,13.0,17Networks_LH_VisCent_ExStr_9,VisCent,Vis,14,7Networks_LH_Vis_15
16.0,7Networks_LH_Vis_16,-14.0,-71.0,-10.0,47.0,17Networks_LH_VisPeri_ExStrInf_3,VisPeri,Vis,15,7Networks_LH_Vis_16
17.0,7Networks_LH_Vis_17,-13.0,-83.0,-14.0,14.0,17Networks_LH_VisCent_ExStr_10,VisCent,Vis,16,7Networks_LH_Vis_17
18.0,7Networks_LH_Vis_18,-31.0,-91.0,-18.0,15.0,17Networks_LH_VisCent_ExStr_11,VisCent,Vis,17,7Networks_LH_Vis_18
19.0,7Networks_LH_Vis_19,-15.0,-64.0,-5.0,48.0,17Networks_LH_VisPeri_ExStrInf_4,VisPeri,Vis,18,7Networks_LH_Vis_19
20.0,7Networks_LH_Vis_20,-16.0,-38.0,-11.0,484.0,17Networks_LH_DefaultC_PHC_6,DefaultC,Vis,19,7Networks_LH_Vis_20
21.0,7Networks_LH_Vis_21,-46.0,-72.0,-3.0,155.0,17Networks_LH_DorsAttnA_TempOcc_8,DorsAttnA,Vis,20,7Networks_LH_Vis_21
22.0,7Networks_LH_Vis_22,-13.0,-50.0,-7.0,49.0,17Networks_LH_VisPeri_ExStrInf_5,VisPeri,Vis,21,7Networks_LH_Vis_22
23.0,7Networks_LH_Vis_23,-6.0,-78.0,-7.0,50.0,17Networks_LH_VisPeri_ExStrInf_6,VisPeri,Vis,22,7Networks_LH_Vis_23
24.0,7Networks_LH_Vis_24,-34.0,-92.0,-9.0,16.0,17Networks_LH_VisCent_ExStr_12,VisCent,Vis,23,7Networks_LH_Vis_24
25.0,7Networks_LH_Vis_25,-10.0,-61.0,-3.0,51.0,17Networks_LH_VisPeri_ExStrInf_7,VisPeri,Vis,24,7Networks_LH_Vis_25
26.0,7Networks_LH_Vis_26,-6.0,-71.0,-2.0,52.0,17Networks_LH_VisPeri_ExStrInf_8,VisPeri,Vis,25,7Networks_LH_Vis_26
27.0,7Networks_LH_Vis_27,-4.0,-90.0,-12.0,1.0,17Networks_LH_VisCent_Striate_1,VisCent,Vis,26,7Networks_LH_Vis_27
28.0,7Networks_LH_Vis_28,-21.0,-99.0,-12.0,17.0,17Networks_LH_VisCent_ExStr_13,VisCent,Vis,27,7Networks_LH_Vis_28
29.0,7Networks_LH_Vis_29,-45.0,-82.0,-1.0,18.0,17Networks_LH_VisCent_ExStr_14,VisCent,Vis,28,7Networks_LH_Vis_29
30.0,7Networks_LH_Vis_30,-10.0,-98.0,-12.0,2.0,17Networks_LH_VisCent_Striate_2,VisCent,Vis,29,7Networks_LH_Vis_30
31.0,7Networks_LH_Vis_31,-14.0,-42.0,-4.0,53.0,17Networks_LH_VisPeri_ExStrInf_9,VisPeri,Vis,30,7Networks_LH_Vis_31
32.0,7Networks_LH_Vis_32,-7.0,-61.0,3.0,35.0,17Networks_LH_VisPeri_StriCal_1,VisPeri,Vis,31,7Networks_LH_Vis_32
33.0,7Networks_LH_Vis_33,-30.0,-96.0,-2.0,19.0,17Networks_LH_VisCent_ExStr_15,VisCent,Vis,32,7Networks_LH_Vis_33
34.0,7Networks_LH_Vis_34,-36.0,-89.0,1.0,20.0,17Networks_LH_VisCent_ExStr_16,VisCent,Vis,33,7Networks_LH_Vis_34
35.0,7Networks_LH_Vis_35,-4.0,-79.0,2.0,36.0,17Networks_LH_VisPeri_StriCal_2,VisPeri,Vis,34,7Networks_LH_Vis_35
36.0,7Networks_LH_Vis_36,-44.0,-71.0,7.0,21.0,17Networks_LH_VisCent_ExStr_17,VisCent,Vis,35,7Networks_LH_Vis_36
37.0,7Networks_LH_Vis_37,-5.0,-68.0,6.0,37.0,17Networks_LH_VisPeri_StriCal_3,VisPeri,Vis,36,7Networks_LH_Vis_37
38.0,7Networks_LH_Vis_38,-17.0,-55.0,1.0,54.0,17Networks_LH_VisPeri_ExStrInf_10,VisPeri,Vis,37,7Networks_LH_Vis_38
39.0,7Networks_LH_Vis_39,-9.0,-95.0,-2.0,3.0,17Networks_LH_VisCent_Striate_3,VisCent,Vis,38,7Networks_LH_Vis_39
40.0,7Networks_LH_Vis_40,-6.0,-103.0,-1.0,4.0,17Networks_LH_VisCent_Striate_4,VisCent,Vis,39,7Networks_LH_Vis_40
41.0,7Networks_LH_Vis_41,-11.0,-45.0,2.0,471.0,17Networks_LH_DefaultC_Rsp_1,DefaultC,Vis,40,7Networks_LH_Vis_41
42.0,7Networks_LH_Vis_42,-48.0,-78.0,9.0,22.0,17Networks_LH_VisCent_ExStr_18,VisCent,Vis,41,7Networks_LH_Vis_42
43.0,7Networks_LH_Vis_43,-6.0,-88.0,2.0,38.0,17Networks_LH_VisPeri_StriCal_4,VisPeri,Vis,42,7Networks_LH_Vis_43
44.0,7Networks_LH_Vis_44,-17.0,-102.0,2.0,23.0,17Networks_LH_VisCent_ExStr_19,VisCent,Vis,43,7Networks_LH_Vis_44
45.0,7Networks_LH_Vis_45,-43.0,-85.0,10.0,24.0,17Networks_LH_VisCent_ExStr_20,VisCent,Vis,44,7Networks_LH_Vis_45
46.0,7Networks_LH_Vis_46,-17.0,-68.0,4.0,39.0,17Networks_LH_VisPeri_StriCal_5,VisPeri,Vis,45,7Networks_LH_Vis_46
47.0,7Networks_LH_Vis_47,-12.0,-75.0,9.0,40.0,17Networks_LH_VisPeri_StriCal_6,VisPeri,Vis,46,7Networks_LH_Vis_47
48.0,7Networks_LH_Vis_48,-14.0,-51.0,4.0,472.0,17Networks_LH_DefaultC_Rsp_2,DefaultC,Vis,47,7Networks_LH_Vis_48
49.0,7Networks_LH_Vis_49,-25.0,-95.0,8.0,25.0,17Networks_LH_VisCent_ExStr_21,VisCent,Vis,48,7Networks_LH_Vis_49
50.0,7Networks_LH_Vis_50,-23.0,-58.0,5.0,55.0,17Networks_LH_VisPeri_ExStrSup_1,VisPeri,Vis,49,7Networks_LH_Vis_50
51.0,7Networks_LH_Vis_51,-7.0,-81.0,10.0,41.0,17Networks_LH_VisPeri_StriCal_7,VisPeri,Vis,50,7Networks_LH_Vis_51
52.0,7Networks_LH_Vis_52,-2.0,-94.0,5.0,42.0,17Networks_LH_VisPeri_StriCal_8,VisPeri,Vis,51,7Networks_LH_Vis_52
53.0,7Networks_LH_Vis_53,-32.0,-87.0,10.0,26.0,17Networks_LH_VisCent_ExStr_22,VisCent,Vis,52,7Networks_LH_Vis_53
54.0,7Networks_LH_Vis_54,-9.0,-100.0,11.0,27.0,17Networks_LH_VisCent_ExStr_23,VisCent,Vis,53,7Networks_LH_Vis_54
55.0,7Networks_LH_Vis_55,-16.0,-58.0,8.0,474.0,17Networks_LH_DefaultC_Rsp_4,DefaultC,Vis,54,7Networks_LH_Vis_55
56.0,7Networks_LH_Vis_56,-18.0,-65.0,9.0,56.0,17Networks_LH_VisPeri_ExStrSup_2,VisPeri,Vis,55,7Networks_LH_Vis_56
57.0,7Networks_LH_Vis_57,-8.0,-70.0,12.0,43.0,17Networks_LH_VisPeri_StriCal_9,VisPeri,Vis,56,7Networks_LH_Vis_57
58.0,7Networks_LH_Vis_58,-18.0,-98.0,17.0,28.0,17Networks_LH_VisCent_ExStr_24,VisCent,Vis,57,7Networks_LH_Vis_58
59.0,7Networks_LH_Vis_59,-49.0,-75.0,20.0,159.0,17Networks_LH_DorsAttnA_ParOcc_2,DorsAttnA,Vis,58,7Networks_LH_Vis_59
60.0,7Networks_LH_Vis_60,-1.0,-80.0,12.0,44.0,17Networks_LH_VisPeri_StriCal_10,VisPeri,Vis,59,7Networks_LH_Vis_60
61.0,7Networks_LH_Vis_61,-41.0,-80.0,16.0,160.0,17Networks_LH_DorsAttnA_ParOcc_3,DorsAttnA,Vis,60,7Networks_LH_Vis_61
62.0,7Networks_LH_Vis_62,-4.0,-92.0,16.0,57.0,17Networks_LH_VisPeri_ExStrSup_3,VisPeri,Vis,61,7Networks_LH_Vis_62
63.0,7Networks_LH_Vis_63,-19.0,-60.0,16.0,476.0,17Networks_LH_DefaultC_Rsp_6,DefaultC,Vis,62,7Networks_LH_Vis_63
64.0,7Networks_LH_Vis_64,-25.0,-91.0,20.0,29.0,17Networks_LH_VisCent_ExStr_25,VisCent,Vis,63,7Networks_LH_Vis_64
65.0,7Networks_LH_Vis_65,-34.0,-90.0,19.0,30.0,17Networks_LH_VisCent_ExStr_26,VisCent,Vis,64,7Networks_LH_Vis_65
66.0,7Networks_LH_Vis_66,-7.0,-69.0,17.0,58.0,17Networks_LH_VisPeri_ExStrSup_4,VisPeri,Vis,65,7Networks_LH_Vis_66
67.0,7Networks_LH_Vis_67,-2.0,-82.0,21.0,59.0,17Networks_LH_VisPeri_ExStrSup_5,VisPeri,Vis,66,7Networks_LH_Vis_67
68.0,7Networks_LH_Vis_68,-10.0,-95.0,25.0,31.0,17Networks_LH_VisCent_ExStr_27,VisCent,Vis,67,7Networks_LH_Vis_68
69.0,7Networks_LH_Vis_69,-16.0,-67.0,17.0,60.0,17Networks_LH_VisPeri_ExStrSup_6,VisPeri,Vis,68,7Networks_LH_Vis_69
70.0,7Networks_LH_Vis_70,-17.0,-90.0,23.0,32.0,17Networks_LH_VisCent_ExStr_28,VisCent,Vis,69,7Networks_LH_Vis_70
71.0,7Networks_LH_Vis_71,-4.0,-77.0,27.0,61.0,17Networks_LH_VisPeri_ExStrSup_7,VisPeri,Vis,70,7Networks_LH_Vis_71
72.0,7Networks_LH_Vis_72,-27.0,-81.0,19.0,33.0,17Networks_LH_VisCent_ExStr_29,VisCent,Vis,71,7Networks_LH_Vis_72
73.0,7Networks_LH_Vis_73,-5.0,-88.0,32.0,62.0,17Networks_LH_VisPeri_ExStrSup_8,VisPeri,Vis,72,7Networks_LH_Vis_73
74.0,7Networks_LH_Vis_74,-31.0,-85.0,26.0,163.0,17Networks_LH_DorsAttnA_ParOcc_6,DorsAttnA,Vis,73,7Networks_LH_Vis_74
75.0,7Networks_LH_Vis_75,-14.0,-75.0,25.0,63.0,17Networks_LH_VisPeri_ExStrSup_9,VisPeri,Vis,74,7Networks_LH_Vis_75
76.0,7Networks_LH_Vis_76,-17.0,-89.0,34.0,64.0,17Networks_LH_VisPeri_ExStrSup_10,VisPeri,Vis,75,7Networks_LH_Vis_76
77.0,7Networks_LH_Vis_77,-24.0,-81.0,29.0,34.0,17Networks_LH_VisCent_ExStr_30,VisCent,Vis,76,7Networks_LH_Vis_77
78.0,7Networks_LH_Vis_78,-12.0,-81.0,35.0,65.0,17Networks_LH_VisPeri_ExStrSup_11,VisPeri,Vis,77,7Networks_LH_Vis_78
79.0,7Networks_LH_Vis_79,-14.0,-86.0,42.0,66.0,17Networks_LH_VisPeri_ExStrSup_12,VisPeri,Vis,78,7Networks_LH_Vis_79
80.0,7Networks_LH_Vis_80,-23.0,-82.0,42.0,166.0,17Networks_LH_DorsAttnA_SPL_2,DorsAttnA,Vis,79,7Networks_LH_Vis_80
81.0,7Networks_LH_Vis_81,-12.0,-79.0,45.0,363.0,17Networks_LH_ContC_pCun_5,ContC,Vis,80,7Networks_LH_Vis_81
82.0,7Networks_LH_SomMot_1,-50.0,6.0,-8.0,134.0,17Networks_LH_SomMotB_Aud_1,SomMotB,SomMot,81,7Networks_LH_SomMot_1
83.0,7Networks_LH_SomMot_2,-56.0,-3.0,-1.0,135.0,17Networks_LH_SomMotB_Aud_2,SomMotB,SomMot,82,7Networks_LH_SomMot_2
84.0,7Networks_LH_SomMot_3,-63.0,-12.0,3.0,137.0,17Networks_LH_SomMotB_Aud_4,SomMotB,SomMot,83,7Networks_LH_SomMot_3
85.0,7Networks_LH_SomMot_4,-66.0,-19.0,6.0,138.0,17Networks_LH_SomMotB_Aud_5,SomMotB,SomMot,84,7Networks_LH_SomMot_4
86.0,7Networks_LH_SomMot_5,-52.0,-14.0,6.0,139.0,17Networks_LH_SomMotB_Aud_6,SomMotB,SomMot,85,7Networks_LH_SomMot_5
87.0,7Networks_LH_SomMot_6,-43.0,-19.0,3.0,140.0,17Networks_LH_SomMotB_Aud_7,SomMotB,SomMot,86,7Networks_LH_SomMot_6
88.0,7Networks_LH_SomMot_7,-66.0,-30.0,6.0,492.0,17Networks_LH_TempPar_8,TempPar,SomMot,87,7Networks_LH_SomMot_7
89.0,7Networks_LH_SomMot_8,-53.0,-20.0,6.0,141.0,17Networks_LH_SomMotB_Aud_8,SomMotB,SomMot,88,7Networks_LH_SomMot_8
90.0,7Networks_LH_SomMot_9,-60.0,-26.0,10.0,142.0,17Networks_LH_SomMotB_Aud_9,SomMotB,SomMot,89,7Networks_LH_SomMot_9
91.0,7Networks_LH_SomMot_10,-41.0,-24.0,11.0,143.0,17Networks_LH_SomMotB_Aud_10,SomMotB,SomMot,90,7Networks_LH_SomMot_10
92.0,7Networks_LH_SomMot_11,-34.0,-24.0,10.0,133.0,17Networks_LH_SomMotB_Ins_1,SomMotB,SomMot,91,7Networks_LH_SomMot_11
93.0,7Networks_LH_SomMot_12,-36.0,-14.0,14.0,120.0,17Networks_LH_SomMotB_S2_1,SomMotB,SomMot,92,7Networks_LH_SomMot_12
94.0,7Networks_LH_SomMot_13,-62.0,-40.0,9.0,495.0,17Networks_LH_TempPar_11,TempPar,SomMot,93,7Networks_LH_SomMot_13
95.0,7Networks_LH_SomMot_14,-43.0,-30.0,9.0,144.0,17Networks_LH_SomMotB_Aud_11,SomMotB,SomMot,94,7Networks_LH_SomMot_14
96.0,7Networks_LH_SomMot_15,-34.0,-31.0,16.0,145.0,17Networks_LH_SomMotB_Aud_12,SomMotB,SomMot,95,7Networks_LH_SomMot_15
